"rank","profile","name","url","state","revenue","growth","industry","workers","founded","yrs_on_list","previous_workers","metro","city"
59,"https://www.inc.com/profile/mrl-promotions","MRL Promotions","mrlpromotions.com","FL",8.7,320.7246,"Advertising & Marketing",16,2003,4,10,"Miami","Fort Lauderdale"
60,"https://www.inc.com/profile/arc-risk-and-compliance","ARC Risk and Compliance","arcriskandcompliance.com","NJ",4.5,320.6436,"Financial Services",22,2009,2,15,NA,"Hamilton"
61,"https://www.inc.com/profile/829-studios","829 Studios","829llc.com","MA",6.7,320.1421,"Advertising & Marketing",44,2007,2,5,"Boston","Boston"
62,"https://www.inc.com/profile/doctorlogic","DoctorLogic","doctorlogic.com","TX",5.9,319.8567,"Advertising & Marketing",44,2014,2,31,"Dallas","Plano"
63,"https://www.inc.com/profile/curlkit","Curlkit","curlkit.com","NJ",5,319.8361,"Advertising & Marketing",5,2011,1,4,NA,"EWING"
64,"https://www.inc.com/profile/strategic-solution-partners","STRATEGIC SOLUTION PARTNERS","strategicsolutionpartners.com","PA",6.7,319.1362,"Travel & Hospitality",2,2007,3,2,"Philadelphia","Drexel Hill"
65,"https://www.inc.com/profile/tellus","Tellus","4tellus.com","FL",2.1,319.1057,"Health",45,2014,3,3,"Miami","Deerfield Beach"
66,"https://www.inc.com/profile/banyan-hills-technologies","Banyan Hills Technologies","banyanhills.com","GA",8.9,318.799,"Software",29,2013,2,11,"Atlanta","Duluth"
67,"https://www.inc.com/profile/dibsies-personalization-station","Dibsies Personalization Station","dibsies.com","OH",4.3,318.4024,"Retail",15,2013,2,4,"Cincinnati","Fairfield"
68,"https://www.inc.com/profile/massie-rd-tax-credits","Massie R&D Tax Credits","http://massietaxcredits.com","GA",2,317.8061,"Business Products & Services",12,2014,1,6,"Atlanta","Alpharetta"
69,"https://www.inc.com/profile/verdia","Verdia","verdia.com","TX",7.6,317.7998,"Manufacturing",16,2014,1,10,"Houston","Conroe"
70,"https://www.inc.com/profile/cetechs","Cetechs","cetechs.net","AZ",7,317.5837,"Government Services",36,2009,2,7,"Phoenix","Mesa"
71,"https://www.inc.com/profile/investor-grit","Investor Grit","wholesalinginc.com","UT",4,317.5431,"Education",13,2014,2,5,"Salt Lake City","South Jordan"
72,"https://www.inc.com/profile/triple-e-equipment","Triple E Equipment","e3equipment.com","FL",5,317.4932,"Retail",15,2013,2,1,"Miami","Pompano Beach"
73,"https://www.inc.com/profile/prairie-tickets","Prairie Tickets","prairietickets.com","SD",6.3,317.0854,"Retail",3,2010,1,2,NA,"Sioux Falls"
74,"https://www.inc.com/profile/crystal-clear-digital-marketing","Crystal Clear Digital Marketing","crystalcleardigitalmarketing.com","FL",7.5,317.0849,"Health",61,2013,2,23,"Orlando, FL","Orlando"
75,"https://www.inc.com/profile/broadjump","BroadJump","broadjumpllc.com","TX",8.5,316.6743,"Health",36,2012,1,25,"Dallas","Dallas"
76,"https://www.inc.com/profile/homestar-remodeling","HomeStar Remodeling","homestarremodeling.com","DE",6.9,316.657,"Construction",50,2013,3,20,"Philadelphia","Wilmington"
77,"https://www.inc.com/profile/jbloom","jBloom","jbloomdesigns.com","MO",9.4,315.8378,"Retail",34,2013,3,8,"St. Louis, MO-IL","Saint Peters"
